link,name,popularity,year
http://www.metrolyrics.com/its-the-end-of-the-world-lyrics-rem.html,It's The End Of The World Lyrics,10,2008
http://www.metrolyrics.com/losing-my-religion-lyrics-rem.html,Losing My Religion Lyrics,9,2003
http://www.metrolyrics.com/the-one-i-love-lyrics-rem.html,The One I Love Lyrics,9,2008
http://www.metrolyrics.com/selingkar-kasih-lyrics-rem.html,Selingkar Kasih Lyrics,7,2010
http://www.metrolyrics.com/man-on-the-moon-lyrics-rem.html,Man On The Moon Lyrics,7,2003
http://www.metrolyrics.com/the-sidewinder-sleeps-tonight-lyrics-rem.html,The Sidewinder Sleeps Tonight Lyrics,7,2006
http://www.metrolyrics.com/nightswimming-lyrics-rem.html,Nightswimming Lyrics,6,2003
http://www.metrolyrics.com/everybody-hurts-lyrics-rem.html,Everybody Hurts Lyrics,6,2003
http://www.metrolyrics.com/fall-on-me-lyrics-rem.html,Fall On Me Lyrics,6,2011
http://www.metrolyrics.com/orange-crush-lyrics-rem.html,Orange Crush Lyrics,5,2003
http://www.metrolyrics.com/its-the-end-of-the-world-as-we-know-it-and-i-feel-fine-lyrics-rem.html,It's The End Of The World As We Know It (and I Feel Fine) Lyrics,5,2014
http://www.metrolyrics.com/whats-the-frequency-kenneth-lyrics-rem.html,"What's The Frequency, Kenneth? Lyrics",5,2003
http://www.metrolyrics.com/everbody-hurts-lyrics-rem.html,Everbody Hurts Lyrics,5,2006
http://www.metrolyrics.com/radio-free-europe-lyrics-rem.html,Radio Free Europe Lyrics,5,2011
http://www.metrolyrics.com/drive-lyrics-rem.html,Drive Lyrics,4,2006
http://www.metrolyrics.com/find-the-river-lyrics-rem.html,Find The River Lyrics,4,2014
http://www.metrolyrics.com/shiny-happy-people-lyrics-rem.html,Shiny Happy People Lyrics,4,2011
http://www.metrolyrics.com/future-40s-string-of-pearls-lyrics-rem.html,Future 40's (string Of Pearls) Lyrics,4,2006
http://www.metrolyrics.com/uberlin-lyrics-rem.html,Uberlin Lyrics,4,2011
http://www.metrolyrics.com/imitation-of-life-lyrics-rem.html,Imitation Of Life Lyrics,3,2003
http://www.metrolyrics.com/its-the-end-of-the-world-as-we-know-it-lyrics-rem.html,It's The End of The World as We Know It Lyrics,3,2008
http://www.metrolyrics.com/crush-with-eyeliner-lyrics-rem.html,Crush With Eyeliner Lyrics,3,2006
http://www.metrolyrics.com/these-days-lyrics-rem.html,These Days Lyrics,3,2006
http://www.metrolyrics.com/ebow-the-letter-lyrics-rem.html,E-bow The Letter Lyrics,3,2003
http://www.metrolyrics.com/ignoreland-lyrics-rem.html,Ignoreland Lyrics,3,2006
http://www.metrolyrics.com/the-sidewinder-sleeps-tonite-lyrics-rem.html,The Sidewinder Sleeps Tonite Lyrics,3,2003
http://www.metrolyrics.com/strange-currencies-lyrics-rem.html,Strange Currencies Lyrics,3,2006
http://www.metrolyrics.com/bad-day-lyrics-rem.html,Bad Day Lyrics,3,2003
http://www.metrolyrics.com/daysleeper-lyrics-rem.html,Daysleeper Lyrics,3,2003
http://www.metrolyrics.com/leaving-new-york-lyrics-rem.html,Leaving New York Lyrics,3,2004
http://www.metrolyrics.com/country-feedback-lyrics-rem.html,Country Feedback Lyrics,3,2011
http://www.metrolyrics.com/stand-lyrics-rem.html,Stand Lyrics,3,2003
http://www.metrolyrics.com/shaking-through-lyrics-rem.html,Shaking Through Lyrics,3,2006
http://www.metrolyrics.com/electrolite-lyrics-rem.html,Electrolite Lyrics,2,2003
http://www.metrolyrics.com/let-me-in-lyrics-rem.html,Let Me In Lyrics,2,2006
http://www.metrolyrics.com/crazy-lyrics-rem.html,Crazy Lyrics,2,2006
http://www.metrolyrics.com/bang-and-blame-lyrics-rem.html,Bang And Blame Lyrics,2,2006
http://www.metrolyrics.com/love-is-all-around-lyrics-rem.html,Love Is All Around Lyrics,2,2014
http://www.metrolyrics.com/living-well-is-the-best-revenge-lyrics-rem.html,Living Well Is The Best Revenge Lyrics,2,2008
http://www.metrolyrics.com/superman-lyrics-rem.html,Superman Lyrics,2,2006
http://www.metrolyrics.com/bittersweet-me-lyrics-rem.html,Bittersweet Me Lyrics,2,2006
http://www.metrolyrics.com/driver-8-lyrics-rem.html,Driver 8 Lyrics,2,2011
http://www.metrolyrics.com/begin-the-begin-lyrics-rem.html,Begin The Begin Lyrics,2,2011
http://www.metrolyrics.com/hollow-man-lyrics-rem.html,Hollow Man Lyrics,2,2008
http://www.metrolyrics.com/pop-song-89-lyrics-rem.html,Pop Song 89 Lyrics,2,2011
http://www.metrolyrics.com/me-in-honey-lyrics-rem.html,Me In Honey Lyrics,2,2006
http://www.metrolyrics.com/gardening-at-night-lyrics-rem.html,Gardening At Night Lyrics,2,2011
http://www.metrolyrics.com/strange-wire-lyrics-rem.html,Strange (wire) Lyrics,2,2008
http://www.metrolyrics.com/beat-a-drum-lyrics-rem.html,Beat A Drum Lyrics,2,2014
http://www.metrolyrics.com/horse-to-water-lyrics-rem.html,Horse To Water Lyrics,2,2008
http://www.metrolyrics.com/fretless-lyrics-rem.html,Fretless Lyrics,2,2014
http://www.metrolyrics.com/try-not-to-breathe-lyrics-rem.html,Try Not To Breathe Lyrics,2,2006
http://www.metrolyrics.com/sweetness-follows-lyrics-rem.html,Sweetness Follows Lyrics,2,2006
http://www.metrolyrics.com/i-believe-lyrics-rem.html,I Believe Lyrics,2,2006
http://www.metrolyrics.com/talk-about-the-passion-lyrics-rem.html,Talk About The Passion Lyrics,2,2011
http://www.metrolyrics.com/turn-you-insideout-lyrics-rem.html,Turn You Inside-out Lyrics,2,2006
http://www.metrolyrics.com/mrrichards-lyrics-rem.html,Mr. Richards Lyrics,1,2008
http://www.metrolyrics.com/until-the-day-is-done-lyrics-rem.html,Until The Day Is Done Lyrics,1,2008
http://www.metrolyrics.com/radio-song-lyrics-rem.html,Radio Song Lyrics,1,2014
http://www.metrolyrics.com/finest-worksong-lyrics-rem.html,Finest Worksong Lyrics,1,2008
http://www.metrolyrics.com/hyena-lyrics-rem.html,Hyena Lyrics,1,2006
http://www.metrolyrics.com/all-the-right-friends-lyrics-rem.html,All The Right Friends Lyrics,1,2003
http://www.metrolyrics.com/walk-unafraid-lyrics-rem.html,Walk Unafraid Lyrics,1,2006
http://www.metrolyrics.com/so-central-rain-lyrics-rem.html,So. Central Rain Lyrics,1,2011
http://www.metrolyrics.com/pretty-persuasion-lyrics-rem.html,Pretty Persuasion Lyrics,1,2006
http://www.metrolyrics.com/that-someone-is-you-lyrics-rem.html,That Someone Is You Lyrics,1,2011
http://www.metrolyrics.com/king-of-birds-lyrics-rem.html,King of Birds Lyrics,1,2008
http://www.metrolyrics.com/catapult-lyrics-rem.html,Catapult Lyrics,1,2006
http://www.metrolyrics.com/camera-lyrics-rem.html,Camera Lyrics,1,2006
http://www.metrolyrics.com/disguised-lyrics-rem.html,Disguised Lyrics,1,2016
http://www.metrolyrics.com/animal-lyrics-rem.html,Animal Lyrics,1,2003
http://www.metrolyrics.com/disappear-lyrics-rem.html,Disappear Lyrics,1,2014
http://www.metrolyrics.com/green-grow-the-rushes-lyrics-rem.html,Green Grow The Rushes Lyrics,1,2006
http://www.metrolyrics.com/kohoutek-lyrics-rem.html,Kohoutek Lyrics,1,2006
http://www.metrolyrics.com/arms-of-love-lyrics-rem.html,Arms Of Love Lyrics,1,2006
http://www.metrolyrics.com/9-dream-lyrics-rem.html,#9 Dream Lyrics,0,2007
